"ACA_Tracking__c","Account_Source_Detail__c","Account_Source_Options__c","Account_Status__c","Account_Type__c","AccountSource","Adoption_Date__c","Banking_Information__c","Benefits_Plan__c","Bill_Rate__c","BillingCity","BillingPostalCode","BillingState","BillingStreet","Business_Structure__c","Check_Date__c","Client_Expectations__c","Client_Legal_Name__c","Client_Prioritieis__c","Close_Date__c","COBRA__c","COI__c","COI_Renewal_Date__c","Company_HQ_State__c","Company_Start_Date__c","Cost_Centers__c","CPEO_Form_8973_Sent_to_IRS__c","CreatedDate","Current_Payroll_PEO_Provider__c","DBA_Name__c","Delivery_Method__c","Description","E_Verify__c","E_Verify_Connector__c","EAP__c","Effective_Date__c","EIN__c","Employee_Data_Import_Received__c","Employee_Types__c","EPLI__c","Exemptions__c","Fax","First_Check_Date__c","First_Pay_Period__c","FMLA__c","Funding_Method__c","History_Required__c","HR_Contact__c","HR_Team__c","HRIS__c","Id","Important_Information__c","Industry","Job_Costing_Requested__c","Master_401k__c","Master_Ancillary__c","Master_Handbook__c","Master_Health__c","Master_Plan_Effective_Date__c","Master_WC__c","NACIS_Code__c","NAIC_Code__c","Name","Number_of_Pay_Periods__c","NumberOfEmployees","Onboarding_Method__c","Operating_Status__c","Ownership","ParentId","Pay_Frequency__c","Pay_Period_1__c","Pay_Period_2__c","Pay_Period_3__c","Pay_Period_4__c","Pay_Period_End__c","Pay_Period_Start__c","Payroll__c","Payroll_Contact__c","Payroll_Personnel__c","Payroll_Platform__c","Period_1_End__c","Period_1_Pay_Date__c","Period_1_Start__c","Period_2_End__c","Period_2_Pay_Date__c","Period_2_Start__c","Period_3_End__c","Period_3_Pay_Date__c","Period_3_Start__c","Period_4_End__c","Period_4_Pay_Date__c","Period_4_Start__c","Phone","Plan_ID__c","Plan_Start_Date__c","Pretty_Contribution__c","Pretty_Eligibility__c","Previous_Payroll_Provider__c","Prior_Payroll_Provider__c","Quarterly_Announcement__c","Rating","Reason_for_leaving__c","Referrer_Name__c","Retirement_Deduction_Codes_Needed__c","Sales_Commitments__c","Scheduled_Termination_Date__c","Semi_Monthly_Pay_Day__c","Semi_Monthly_Pay_Period_1_End__c","Semi_Monthly_Pay_Period_1_Pay_Day__c","Semi_Monthly_Pay_Period_1_Start__c","Semi_Monthly_Pay_Period_2_End__c","Semi_Monthly_Pay_Period_2_Pay_Day__c","Semi_Monthly_Pay_Period_2_Start__c","Semi_Monthly_Pay_Period_Days__c","Service_ACA__c","ShippingCity","ShippingPostalCode","ShippingState","ShippingStreet","Special_Instructions__c","Spending_Plan__c","Stand_Alone_Renewal_Date__c","State_SUTA__c","State_SUTA_Rate__c","States__c","Tax_Exempt_Status__c","Term_Date__c","Term_Notification_Date__c","Term_Reason__c","Term_Reason_Detail__c","Time_Clock_Types__c","TLM__c","Track_Accruals__c","Type","UKG_Short_name__c","Vesting_Schedule__c","Website","Weekly_Pay_Day__c","Weekly_Period_End__c","Weekly_Period_Start__c","Welcome_Call_Completed__c","Welcome_Call_Date__c","Worklio_Client_Number__c","Year_Business_Started__c"
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-10T17:44:18.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NfJy7QAF","","Construction","","false","false","false","false","","false","","","Bird Paving","","9","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 472-3969","","","","","","","false","Hot","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","www.birdpaving.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T02:28:41.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NgLxgQAF","","Entertainment","","false","false","false","false","","false","","","ABC Rentals","","30","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 675-6688","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","Spartanburg","29303","SC","8345 Fairforest Road","","","","","","","false","","","","","","false","2019-04-12T02:38:36.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NgLyeQAF","","","","false","false","false","false","","false","","","United Forest Products, Inc.","","50","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(864) 503-0957","","","","","","ADP","false","","","","","","","","","","","","","","","false","","","","","","","","","","SC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T02:50:52.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NgLzSQAV","","","","false","false","false","false","","false","","","Cherry Road Lube Shop","","16","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","NC","","","","","","","false","false","","","","","","","","false","","",""
"false","","","Prospect","","","","","","","Charlotte","28213","NC","1705 Orr Industrial Ct # A, Charlotte, NC 28213","","","","","","","false","","","","","","false","2019-04-12T02:57:10.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NgLzrQAF","","","","false","false","false","false","","false","","","Charlotte Temperature Controls","","18","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(704) 509-0707","","","","","","Paycor","false","","","","","","","","","","","","","","","false","","","","","","","","","","NC","","","","","","","false","false","","","","http://www.ctccontrols.com/","","","","false","","",""
"false","","","Terminated","ASO","","","","","","","","","","","","","","","2019-04-12","false","","","","","","false","2019-04-12T03:18:50.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000NgM1EQAV","","Hospitality","","false","false","false","false","","false","","","Bubba Annie`s","","26","","","","","Biweekly","","","","","","","false","0031U00000Rgm0UQAR","","Worklio","","","","","","","","","","","","","(864) 654-5120","","","","","","PropelHR","false","","","","","","2022-12-31","","","","","","","","","false","","","","","","","","","","SC","","2022-12-31","2022-12-07","Competitor","","","false","false","ASO","","","bubbaannies.com","","","","false","","",""
"false","","","Client","PEO","Website","","","","","Greenville","29601","SC","3 N Laurens St","","","","Ferebee Lane, Inc.","","2019-04-18","false","Yes","2023-01-01","SC","","","false","2019-04-12T03:26:15.000Z","","","","","false","false","false","2019-04-10","","false","","true","","","","","false","","","0031U00000NYu2GQAT","false","false","0011U00000NgM1YQAV","","Media","","false","false","false","false","","false","","","Ferebee Lane","","26","UKG","","","","Weekly","","","","","","","false","0031U00000NYu2GQAT","Samantha Brooks","UKG","","","","","","","","","","","","","0000000000","","","","","","PropelHR","false","Warm","","4A's","","","","","","","","","","","","false","Greenville","29601","SC","3 N Laurens St","","","","","","CO;GA;SC","","","","","","","false","false","PEO","","","www.ferebeelane.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T12:59:18.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Nh6lRQAR","","Construction","","false","false","false","false","","false","","","Cooper Drywall & Painting Inc","","10","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(865) 859-0359","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","http://cooperdpi.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T13:09:17.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Nh8bPQAR","","Industrial Automation","","false","false","false","false","","false","","","Allied Caster & Equipment Company","","10","","","","","","","","","","","","false","","","","","","","","","","","","","","","","(800) 333-3422","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","http://alliedcaster.com","","","","false","","",""
"false","","","Prospect","","","","","","","","","","","","","","","","","false","","","","","","false","2019-04-12T13:15:51.000Z","","","","","false","false","false","","","false","","false","","","","","false","","","","false","false","0011U00000Nh8byQAB","","Transportation","","false","false","false","false","","false","","","Boyz Transportation","","16","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","false","false","","","","","","","","false","","",""
